# Serie CIFAR10_2560_MB CIFAR10_1_KB ImageNet_128_MB
ReLU1	640	256	1568
MAX1	160	64	392
ReLU2	320	128	784
MAX2	80	32	196
ReLU3	160	64	392
ReLU4	160	64	392
MAX3	40	16	98
ReLU5	80	32	196
ReLU6	80	32	196
MAX4	20	8	49
ReLU7	20	8	49
ReLU8	20	8	49
