# Serie   CIFAR10_V100 CIFAR10_2080Ti ImageNet_V100 ImageNet_2080Ti
AlexNet	12.5	10.7337387	9.435920663	7.695820144
VGG16	6.134969325	5.683224405	4.602977499	4.436940832
Plain20	0	0	0	0
MobileNet	3.936612903	3.411371237	4.339525307	3.75130185
ResNet	4.16	4.11	2.993691273	5.419203155
SqueezeNet	6.517690875	4.853454232	3.171318306	4.926707974



